Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Dom. y Fest.,Ida,[241] Magisterio  (L25-27-33-35-40),0,,,,,,,,,,,1,0,0,1,,0,1,0,1,1,0,0,
Dom. y Fest.,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,,,,1,0,0,2,1,0,1,,,1,1,0,,
Dom. y Fest.,Ida,[278] Tolosa 112,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,,
Dom. y Fest.,Ida,[50] Tolosa 138,,,,,,,,,,0,,0,0,0,0,0,0,1,0,0,1,0,0,
Dom. y Fest.,Ida,[279] Infierno,,,,,,,,,,,,,,,,,,,,0,,,,
Dom. y Fest.,Ida,[353] A–orga Txiki I,,,,,,,,,,,,,,,,,0,,,0,0,,,
Dom. y Fest.,Ida,[354] A–orga I,,,,,,,,,,,,,0,0,,,,,0,,,,,
Dom. y Fest.,Ida,[355] Cincuentenario I,,,,,,,,,,,,,,,0,,,,,,,,,
Dom. y Fest.,Ida,[356] Errekalde Topo,,,,,,,,,,,,,,,,,,0,,,,,,
Dom. y Fest.,Ida,[358] Irubide ,,,,,,,,,,,,,,,0,,,0,,,,,,
Dom. y Fest.,Ida,[359] Belartza 2,,,,,,,,,,,0,,,,,,,0,,,,,,
Dom. y Fest.,Ida,[360] Rotonda Belartza,,,,,,,,,,,1,0,0,2,0,,1,1,0,0,0,,0,
Dom. y Fest.,Ida,[361] Belartza,,,,,,,,,,,,0,,,,,,0,,,,0,,
Dom. y Fest.,Vuelta,[287] Errekalde II,,,,,,,,,,7,3,2,0,1,1,2,3,1,0,1,0,8,,
Dom. y Fest.,Vuelta,[362] Errekalde,,,,,,,,,,1,1,3,6,1,0,1,1,1,0,2,3,0,0,
Dom. y Fest.,Vuelta,[363] Cincuentenario II,,,,,,,,,,,,,,,1,,,,,0,1,,,
Dom. y Fest.,Vuelta,[364] A–orga II,,,,,,,,,,2,5,10,4,5,2,2,6,8,5,4,2,2,0,
